name,intro,label,predict_label
養生太極拳,"本課程為基於使學員在經歷學習的過程之後，能具有初識太極拳的體性與作用的成效，而採用融入式的複合課程的架構。以提供給太極拳的愛好者一個有效率的入門學程，並兼顧到已稍具基礎的同好，不論在武術的提昇方面或是養生的功效方面，都可以獲得登樓窮目的成長碩果。所以課程的內容包括太極練功學、初階與進階拳架、基礎推手與進階應用等的練習，同時安排了運動傷害的預防與推拿保健的主題，以強化整個課程內容的結構。

學員經由本課程的學習與身體鍛鍊，體弱者將因此而轉健，體健者將因此而強壯。每位學員皆能把從社大所獲得的身體健康的財富，帶回家庭，帶回社區，帶回生活週遭，而關懷社會，造福人群。亦即因本課程在社大教室的播種，而深耕遍及本土社區的每個角落，降低醫療資源的耗損，灌注社會有機活力，而厚植國富民強的國本。

另外，本課程將會陸續的推出以太極拳完整套路，即整套拳架為主的延伸課程，從基礎動作，進入動作的精確性，而擴及力學原理與運動原理的探討，以及深入如何以心行氣，以氣運身的內在意識領域，藉以探尋人體工學的奧秘，…進而窺探太極拳的堂奧。

當然，在太極拳的推手方面，也將同樣以如此深入淺出的方式，另闢一門課程呈現給所有愛好推手的太極拳同好。",美感教育、生命教育,非上述屬性
靜心寫書法B(寬博正氣顏真卿楷書）,"基本臨摹書寫為主要教學重點，透過書寫建立學員對字形結構的掌握及行氣佈局的認識，進而與古人遊。
臨習各書體後，進而書法創作，亦培養對書法藝術的鑑賞力。",美感教育,美感教育
舊衣改造與修改衣服,現代人衣服不穿都丟回收箱子或垃圾車，蠻可惜，造成環境污染，如果可以再利用它，再生復活物命，不但環保，又可表現創意機會，有機會到社區服務,環境永續、美感教育,環境永續
居家水電維修與實作-基礎,面對全球的不景氣，您的財富還能剩下多少？惟有做好節約能源與減碳的管理，使家庭成為每個人最佳的庇護所，瞭解個人居家基本設備安全、維護保養的基本知識與節能減碳和能源管哩，學習生活技能，使其一生受用無窮，更擁有終身的安全保障，促進居家安全,環境永續,環境永續
芳香經絡心靈舒活課程（經絡拳）,"1、緣由: 因經絡拳易學易懂，隨時隨處可振盪，不僅自己可健康也可推
                           廣給周邊的人
2、學科/知識與理論: 經絡拳~是屬[經絡振動學]是源自中國的生命科學，學
        習以雙手振盪",美感教育,非上述屬性
婦女消費權益面面觀,希望藉由這課程讓學員深入法律相關領域，認識包括消費者保護、金融保險、房地產、公寓大廈管理、補習教育、職場性騷擾等相關法令，以實際案例分享可能發生之狀況，對此有認識了解，並能保護自己、保障自己的權利，促進性別平等，避免被有心人矇騙。,性別平等、人權法治,人權法治、性別平等、消費者保護
Fun 鬆做瑜珈D班,"瑜伽改善身體的不平衡， 並藉由呼吸強化自律神經,淨化血液，達到健美強身的目的 。只要學會瑜伽並持之以恆的練習，將發現身體越做越好。",美感教育,非上述屬性
Scratch程式基礎,"1. 教導學員學習基礎程式概念
2. 使用活潑的scratch，讓動畫，小遊戲更容易寫出
3. 透過小遊戲增加親子，祖孫互動
",科技學習、代間學習,非上述屬性
太極傳統導引藝術,"1.緣由:
發揚中國固有國粹之太極藝術，增進國人健康。
2.學科/知識與理論:
學科：中華太極文化之介紹，概說太極之淵源及派別流傳，以及現今普傳之太極拳賞析。
知識與理論:以太極功法為基礎，教導學員们運動防護的觀念及日常生活正確的活動姿勢",生命教育、美感教育,民俗文化資產、美感教育
手工皂的樂趣：竹塹的故事,本課程內容為手工皂應用課程。結合竹塹的風土民情，運用在手工皂製皂的創作裡，是一門結合藝術與技巧的操作學問。這裡面包括色彩學、力學、化學以及美學的培養，是做皂追求的藝術境界。每堂課程都非常實用，讓有心挑戰更高製作技巧的學員一展才能。,美感教育、環境永續,美感教育
古箏合奏,以合奏方式訓練學員音樂之間的默契與美感，開啟耳朵對於音樂的靈敏度，來達到音樂帶來之身心靈放鬆，並藉由合奏協調自身節奏感。,美感教育,傳統藝術、美感教育
生活與花草,紓壓放鬆，與花草植物做朋友，綠色療癒在我家。依循節氣，播種扦插，不只在於土地，更在心田。借一方綠意，與天地連結；感四時遞嬗，悠遊慢賞。藉由種植、飲食及與花草植物相關的手做，培養環境知覺，打開五感及季節感，當下體驗生活的簡單幸福之美。,美感教育,環境永續
快樂學台語-讀寫基礎,"1.緣由: 
本課程將培養學員台語的讀寫基本能力，並對台語認證考試作準備。
2.學科/知識與理論: 學習台語讀寫方法。
3.技能:  培養學員台語讀寫能力。
4.品德/態度: 讓學員能更愛惜台語疼惜鄉土。
5.讓學員可以讓自己身邊的故事留下",本土語文,非上述屬性
男女美容美髮乙丙級證照與影視角色髮妝造型,培養具有男女子美髮乙、丙級技能檢定之標準，達到整體造型設計之能力，授與學員需具備之男女子美髮行銷、瞭解男女子美髮等專業知識，培養具有敬業樂群之服務精神與職業道德，養成勤儉樂觀及積極敬業的工作態度，創新及應變的能力，培養其具有終身學習之態度與,美感教育,美感教育
易經開門," 《易經》是中華民族燦爛的瑰寶，被譽為群經之首，大道之源。透過習易演易，進而推天道以明人事，並以陰陽互應，天人交感，以通天下之志，以定天下之業，以斷天下之疑。同時也講究君子進德修業當以自強不息和厚德載物之精神來立身處世，它更是解開宇宙人生密碼的一部智慧寶典。故《論語》子曰：「加我數年，五十以學易，可以無大過矣！」
本課程是以究天人之際，通古今之變，利用易經法則來開啟我們的心靈智慧，創造無限潛能，並有效運用國學所闡揚的經典哲理，作為修身、齊家、治國、平天下之指南。


",生命教育,非上述屬性
客語說文解字,"客語係漢語之一，用正確之漢字書寫，方才可能保存、推廣、發揚客家語言文化，現代在台灣之各種書面同電子媒體，常出現用北京音譯寫客語字詞之錯誤示範，本課程旨在透過現代語言學之專業素養，學習正確之漢字書寫，從而認識客家文化，促進在地認同。
1 了解漢字个特性 單音節包含聲母、韻母、聲調。
2 字形結構象形、指事、會意、形聲。 
3 漢字活用轉注、假借。
4 客語正確用字必須音合、意合、習慣講法也合。
5 學習客語達到會聽、會說、會讀、會寫个完整目標。",本土語文,公民素養、民俗文化資產
活動主持與魅力口才,培力社區領導人及志工擁有活動帶領主持能力。提升表達技巧能力，包含台風、口語及說故事等能力，並能因應不同場合、節慶、對象等，妥善引導觀眾關注活動進行。提升社區活動辦理品質與參與者的專注度，擴大活動辦理成效。協助對擁有魅力口才有高度興趣，對自我優質口語表達有高度期許之同好，能在公眾場合正確表達，展現個人形象魅力，進而能稱職得宜擔任司儀/主持人工作，輕鬆掌控活動進行，帶領活動順利圓滿完成。,社區總體營造,非上述屬性
胡琴二胡入門,中國音樂文化傳承，分享音樂融入家庭裡，溫暖人心，並促進社會和諧。,美感教育、傳統藝術,傳統藝術、民俗文化資產
桃竹苗古道探索-初級A,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級B,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-長青班,專為65歲以上長青學員規劃之健行課程,山野教育、地方學,非上述屬性
烘焙舒壓趣,在社區大學多年的教學經驗，深深體認到學生在家最常做的料理，其實不在於食材使用得有多花俏，反而是材料要取得方便，並且容易完成的才會時常製作，所以利用身邊常見的食材與烘焙結合，讓烘焙增加各種食材的變化樂趣，期使能更貼近生活，使烘焙深入每個家庭。,美感教育,非上述屬性
植物灌膠生活用品及飾品,老師擁有8年珠寶設計師的經歷，將用人生中對美學的經驗與眼光，帶給飾品更多的樣貌與層次，並教授學員製作飾品的技巧,美感教育,美感教育
華麗轉身~美式排舞週三初階班,訓練學員肢體協調.進而完整的跳舞.不但可讓學員輕鬆無負擔的學習.還能加強學員自信心.,美感教育,非上述屬性
葡萄酒品飲；有品飲課程,"舉凡新竹城隍廟在地小吃也能搭配葡萄酒、亦或是簡易的挑選酒款方法......等等。
從輕鬆簡單無壓力的環境下學習專業知識，並且用於日常。
",美感教育,環境永續
運動休閒舞蹈（推廣課程）,"由各國基本舞步學習,進而培養及排練舞曲,藉由個別,分組,團體練習,展現成果",美感教育,傳統藝術
實用葡萄酒知識課程；無品飲課程,"舉凡新竹城隍廟在地小吃也能搭配葡萄酒、亦或是簡易的挑選酒款方法......等等。
從輕鬆簡單無壓力的環境下學習專業知識，並且用於日常。
",美感教育,環境永續
輕鬆賞鳥趣（戶外+室內）,"1.認識生活周遭環境的鳥類，欣賞鳥類的飛羽及觀察習性行為，增加行走自然步道的樂趣。
2.教導學員如在野外遇到受傷鳥類時，應如何處理。
3.引導學員如何我們關心環境、維護生態之心。
4.享受大自然的美好、吸收芬多精、放鬆療癒心情、紓解壓力。",公民素養、環境永續,環境永續
靜心寫書法A（寬博正氣顏真卿楷書）,"基本臨摹書寫為主要教學重點，透過書寫建立學員對字形結構的掌握及行氣佈局的認識，進而與古人遊。
臨習各書體後，進而書法創作，亦培養對書法藝術的鑑賞力。",美感教育,美感教育
從當代電影看世界文化--十七、八世紀的中西交流,當代世界是全球化的社會，面對時空環境的壓縮，人（族群）與人（族群）、民族與民族間，互動更密切，但衝突也隨之出現。面對差異，如何讓族群、文化間的隔閡減低，彼此了解與互動，是本課程開設由來。本課程透過電影的觀賞，以深入淺出的方式探討：1.文化認同：「多元文化」在文化認同、性別取向、價值觀的多重選擇。2.國家層面：多元事實與理想有出入，面對多元族群與文化，如何讓彼此間的隔閡消彌，為政策制定與執行所須思考的層面。3.個人而言，「多元」可代表開放、活潑、豐富的人生，也可能是生活無重心或充滿衝突。全球化下的台灣，文化多元性超越其他地區，本課程以電影寓教於樂地促進台灣社會與文化的多元包容。,公民素養,人權法治、性別平等、新住民課程、民俗文化資產、環境永續
Fun 鬆做瑜伽C班,"瑜伽改善身體的不平衡， 並藉由呼吸強化自律神經,淨化血液，達到健美強身的目的 。只要學會瑜伽並持之以恆的練習，將發現身體越做越好。",美感教育,非上述屬性
大家來學外丹功（推廣課程）,現代社會，人口大多集中城市，空間有限，無法充分活動，二則工商業體力勞動銳減，三則許多家務或已經電氣化，自動化，或不合健康需求，四則高齡人口逐漸增加，在在皆須安排優質之運動。外丹功就以外在動作啟動先天氣的功夫，其外在動作包含活動關節，腹式呼吸與自我按摩，而先天氣是生命之原動力，與血液一樣重要。啟動先天氣各種器官功能才會正常。外丹功在台灣推展近三十年，這三十年累積了不少寶貴經驗，增加了一些輔助動作後，效果更迅束而且顯著，練外丹功保證可使一個人身心健康，神采煥發。,美感教育,代間學習、高齡心理健康
文字之美-行草篇,書法藝術係透過書法學習，可以怡情養性，增進恆心、毅力的定靜功夫。只要有心，就可以將字寫好、寫美，讓學習書法成為生活中的一門樂事。,美感教育,美感教育
日語進階四(J9)大家的日本語第39-42課,使學員能達成日檢N4~N3程度為目標。透過解說日語單字意思、發音規則、句型結構等打好日語基礎、理解進階日語，以期學生將課程內容運用在聽、說、讀、寫、譯等基礎能力上，達到奠定日語基礎、培養學習興趣、養成課外積極使用日語習慣。,非上述屬性,非上述屬性
日語讀書會（全日文上課）,透過語言讓學員了解日本文化及生活習慣。藉由精進日本語言及日文文法，讓學員了解日本的社會文化及生活習慣，認識差異，拓展多元國際觀。,非上述屬性,人權法治、民俗文化資產
打開英語的耳朵 培養STEAM生活力,"開課緣由: 在新竹這個科技城,竹科人的英文實力是不容小覬的.但因現代社會型態的改變與多家庭因為雙薪工作,父母十分忙碌,導致親子共讀的時間大幅縮短 .故本課程希望為家長大幅縮短挑選英語繪本的時間,分享許多輕鬆,有趣,適合親子共讀的英語繪本.",英語教育,英語教育
生活花藝創作,"將花藝融入生活中,透過花藝的創作,啟發創造力.並透過花草來療癒紓解壓力.透過花藝,並拉近人與人間的距離.
本課程將教授最新流行的不凋花及乾燥花,以及鮮花的日式花藝及英式花藝術.
讓學生可以多方面接觸不同的花藝,並講解花藝架構,學習色彩的搭配",美感教育,美感教育
佛拉明哥舞~進階班,"教學目標：
一、認識佛拉明哥舞的文化藝術。開展文化包容與豐富生活。
二、舞蹈加上音樂、節奏等融合，透過舞蹈將情感與自信表現於生活。
三、提升肢體活動力，將心眼擴展、情緒轉動，促進身心健康協調。
",美感教育,傳統藝術、民俗文化資產、生命教育、美感教育
長青台語歌唱班,用卡拉OK歌唱的方式教唱台語新（老）歌，以演唱的心情練音、練唱、練技巧；學習咬字、學習運用技巧轉音，學習用「心」來唱歌。選擇最普遍的老歌，跟上潮流唱新歌；把音樂、歌聲帶入您的生活之中，大大方方的演歌，隨時隨處自然開口擺姿演唱「好聽的歌」。,美感教育、本土語文,傳統藝術、環境永續
架網站：資訊架構學入門,大家都知道一個網站對於一個組織很重要，但是，很少組織擁有恰如其分的網站。這門課，希望可以訓練更多人知道如何規畫一個網站並且產出網站規劃書，同時，實際做出網站的雛形（prototype）。,科技學習,非上述屬性
香氣風味識別課程；品茶品花草品香,"從輕鬆簡單無壓力的環境下學習專業知識，並且用於日常。
現代人難以有嗅覺味覺感受相關課程；以天然的花草來讓大家更能明白，茶、酒、咖啡裡所訴求的香氣味道，到底是甚麼
",美感教育,環境永續
桃竹苗古道探索-中級D,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級C,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級G,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級H,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
烏克麗麗彈唱演奏進階,夏威夷的四弦小吉他-烏克麗麗，簡單易學，方便攜帶，沒有音樂基礎要求，適合各年齡層，透過活潑生動的教學方式，按部就班的系統練習，讓學員從無到有輕鬆的學習，讓烏克麗麗融入生活，享受指尖音符流動的樂趣。,美感教育,傳統藝術
真花珠寶UV膠飾品,老師擁有8年珠寶設計師的經歷，將用人生中對美學的經驗與眼光，帶給飾品更多的樣貌與層次，並教授學員製作飾品的技巧,美感教育,美感教育
能源與居家環境,透過本課程，學員能認識能源對居家生活環境的重要性，和如何在家中方便的、有效的及安全的使用不同的能源，以增進生活品質。同時也關心各種能源的世界縕藏量，以及如何減低使用能源對地球帶來的污染。,環境永續,環境永續
國畫基礎－山水篇,由於傳統文化的式微，藉由課程來推廣這優良的文化藝術。,美感教育,民俗文化資產、美感教育
悠遊鄉土～文史輕旅行,藉由輕旅行，在鄉城中找尋獨特在地風味，認識文史故事，加深對鄉土的知識和關懷，增添人文素養與美感，間接促進地方創生。,社區總體營造、地方學、民俗文化資產,公民素養、美感教育
筆歌墨舞-行草篇（日班）,書法藝術係透過書法學習，可以怡情養性，增進恆心、毅力的定靜功夫。只要有心，就可以將字寫好、寫美，讓學習書法成為生活中的一門樂事。中國書法藝術欣賞與研習，從認識書法的美，培養興趣，涵養性情，進而朝敢寫、勤寫、愛寫、能寫的方向發展。,美感教育,美感教育
微笑天使-沖煮好咖啡,"1.	認識基本咖啡知識
2.	認識咖啡烘焙度的口感差異
3.	了解沖煮手沖咖啡的各項要素
4.	學習手沖咖啡的技巧
5.	實際操作如何沖煮一杯美味好喝的咖啡
",美感教育,非上述屬性
微寫實水彩,在充滿競爭與壓力的環境下，想藉由繪畫讓人放鬆與紓壓，讓同學對於水彩不再感到害怕。幾乎在每週課程結束時都能擁有一幅小品作品來增加信心，在課程中，保持輕鬆愉快的心情做畫，除了會教授水彩技法與步驟外，也引導同學進行創意發想與組合。,美感教育,環境永續
經絡按摩（經絡拳）,"1、緣由: 因經絡拳易學易懂，隨時隨處可振盪，不僅自己可健康也可推
                           廣給周邊的人
2、學科/知識與理論: 經絡拳~是屬[經絡振動學]是源自中國的生命科學，學
        習以雙手振盪",美感教育,非上述屬性
實用生活法律知識,建立基礎法學觀念，在課程當中利用平時的口語，解說艱澀難懂的法條，並且藉由實務上常見之案例介紹相關法律問題，以培養同學們運用法律解決問題之能力。,公民素養、人權法治、消費者保護,非上述屬性
實用生活美語,"生活美語已成為現代人出國必備的工具,本班藉由主題式的生活美語,學習單字和 句型, 並利用小組討論和對話練習,學習實用的生活美語,讓您出國,出差輕鬆說英文.",英語教育,英語教育
實用生活美語一路通,"在每個單元主題課程中帶入食衣住行之實用生活情境會話，學習主題單元之實用字彙，並透過溝通式的教學來引導句型結構和文法概念的應用，再藉由角色扮演和和學員彼此間的實際演練融入情境對話，
以此為藍本發想出屬於自己的情境對話，建立學員生活美語語料庫。",英語教育,英語教育
實用養生推拿,"提供學員藉著對推拿理論概念、推拿禁忌須知、推拿手法原理、推拿養生氣功學、人體解剖學（骨骼系統、肌肉系統、中樞神經、週邊神經系統、人體器官、呼吸系統、血液循環系統）的認識，及透過古代養生法（內經【上古天真篇、四氣調神篇】）、古代（明、清）推拿原理探討、經絡概說 (取穴法影片教學、十二經脈、手足三陰三陽常用穴位、任督二脈、經外奇穴、五輸穴、原穴、絡穴等)，肩頸、腰背推拿臨床手法理論與應用（推拿手法整合解剖學）、肩頸、腰背推拿辨證（肩頸、腰背綜合症舒緩）、頭臉美容保健理論與應用 (偏頭痛、高血壓等舒緩及顏面美容)、上肢、下肢推拿辨證（上肢綜合症舒緩）、內科保健 (頭痛、中暑、失眠、高血壓、胃病、胃下垂、便秘、腹瀉等舒緩及幼兒保健)等等的理論探討及總複習，與熟習推拿手法應用的操作。

期能進一步藉由對人體生理結構及經絡穴位的了解，古代推拿原理的探討，臨床推拿手法辨證整合解剖學，結合理論與實際應用。而深入推拿手法的運用，於無病之時舒通經絡、調和氣血，以達到注重自身的養生保健功效，並將所學應用於日常生活中，一方面與家人分享互動，一方面在生活周遭建立良好的人際關係。所謂自助然後助人，而享有健康幸福的人生。",生命教育、美感教育,非上述屬性
養心瑜伽(A)晚班,"1.透過練習的過程探索與認識自己、接受全然的自己。
2.練習在力量與放鬆之間找到自己的平衡與看見自己。",美感教育,非上述屬性
養心瑜伽(B)日班,"1.透過練習的過程探索與認識自己、接受全然的自己。
2.練習在力量與放鬆之間找到自己的平衡與看見自己。
",美感教育,非上述屬性
手工皮件-初階（週ㄧ班）,"特別安排了簡單又實用的作品讓學員能在輕鬆有趣的教學中, 搭配簡易的工具,發揮創作力, 以紮實的訓練，使學員回家後,隨時可以自行享受皮件工藝的創作樂趣。",美感教育,非上述屬性
日語初級J7(大家的日本語15-20課),"教授東京標準語。
日語從動詞及形容詞變化開始，讓您能夠在歡樂的氣氛中學習實用日語會話，奠定良好的日語基礎。",非上述屬性,非上述屬性
外交官帶你透視鮮為人知的國際局勢,"開課動機：讓國人及社會大眾對國際局勢及我國的外交關係與所處之國際環境有更清楚的認識與瞭解。
課程目標：培養國人對國際關係及國際事務之興趣 開拓宏觀的國際視野 　　
增進學員對我國政治，國際際關係及國際現勢之瞭解增廣國際見聞及開拓國際視野 進而清楚認識我國所處的國際環境及如何自處之道，並能從宏觀角度解析國際及國內局勢的脈動，掌握美中台三邊關係可能之發展，客觀及正確看待兩岸關係之走向 以及理性處理雙方之互動與交流，有自己的見解，不至於人云亦云。",公民素養、國防教育,環境永續
有氧呼吸養生塑身,藉由動態的有氧律動及伸展運動，強化心肺及肌力功能和柔軟度。透過核心肌力訓練、伸展拉筋、經絡拍打等方式，促進身體新陳代謝的循環，並舒緩放鬆身心。有氧律動融合有氧、舞蹈等動作，搭配上南美洲音樂，更增添樂趣。,美感教育,傳統藝術
竹塹攝影班,"適合所有對數位攝影有興趣的學員參加。以深入淺出的上課方式，帶領大家認識攝影器材、學習攝影美學及相機操作技巧。學員不論使用何種相機，經由本課程都可以學會各項基本觀念與技巧，輕鬆拍出動人的好照片，課程內容還包含人物攝影、風景人文攝影、市區街景外拍和…等。第一堂室內課,學員請加講師臉書以便聯繫！9月14日下午2-4時。110年元月4日。元月11日下午2-4時。室內課程",美感教育,科技學習、美感教育
快樂學桌球(週一班),"藉由桌球課程了解球場禮貌，培養勝不驕敗不餒精神，以球會友的態度，發展人際關係的和諧，享受運動過程中的快樂。
",美感教育,非上述屬性
快樂學越南語,本課程的主要目標是讓學生學習越南語，在學習越南語之餘，也能更加瞭解越南文化。,非上述屬性,民俗文化資產
投資理財線圖紮根班  ,"投資的行前學習,需跟著成功致富者的腳步,才可縮短學習的時間,早日達到創造財富的目標.老師透過多年的金融投資實務經驗,抓住研判線圖漲跌的精髓並建立有系統的教案,循序漸進指導同學 , 讓同學在重覆學習中,建立正確的投資思維與研判
※投資理財有賺有賠，投資風險自負，本課程教學供參考，個人投資行為應自負完全責任。",非上述屬性,非上述屬性
身心平衡瑜珈,"1.培養對身心靈三層面的覺察習慣，達成更接近均衡的健康生活。
2.對自我的生理、心理和精神有更科學的認知，能夠做出不傷害他人、自己、或自然的選擇。
3.不與人比較，更貼近自己，了解自己，找到自己的步伐。
",美感教育,環境永續
社區糧倉 - 共榮種植共同研究工作坊,"「共榮作物」的概念在友善農法社群間有廣泛討論, 卻少有人進行較具系統的研究
這學期課程, 我們邀請大家一起來共同研究「共榮作物」
講師會介紹共榮作物的概念, 以及科學實驗的基本原則
與大家一同研究在台灣可行的共榮植物群
",環境永續,非上述屬性
粉彩的想像力插畫創作與塗鴉 ,"這課程是想讓學員不需經過這些專業的繪畫訓練，而是透過自發性的想像、情緒的表達直接由簡單的造型、色彩就可以創作出屬於個人的插畫風格，進而對繪畫創作更有自信，也藉此更了解自己，並延伸至親子的繪畫互動。
本課程不臨摹、無寫生、不畫風景與實體物品。",美感教育,生命教育
帶著色鉛筆去旅行,培養觀察與手繪技術，讓大家旅行時可以寫生紀錄美景,美感教育,非上述屬性
旋轉天鵝~美式排舞週一初階班,"美式排舞為輕度運動.意思是排成排一起跳的舞.男女老少都適合.排舞運動風靡全球.
學員能藉由上課.活化全身體力.加強肌耐力.提升學員手腳協調性.訓練平衡感及記憶力.在反覆練習舞序並搭配舞曲.完整跳出舞曲.可加強學員自信心.促進身心健康.",美感教育,非上述屬性
異國融合肚皮舞,"每季安排不同歌曲,課程中教學肚皮舞基本動作,鍛鍊身體體態,訓練肢體動作,一步一步漸進教學,肚皮舞能鍛鍊身體小肌群運用,運動到平時不太運用的肌肉,所以在跳舞同時又能達到運動效果",美感教育,非上述屬性
笛音繚繞～單簧管（豎笛）入門,只要有心，不管幾歲都能實踐夢想。從基礎樂理至基礎豎笛吹奏，跟著老師的課程，透過有規律且有條理的教學以及學員持續的練習，一起用豎笛美妙的笛聲陶冶身心，並且透過豎笛齊奏、合奏方式，體驗各種吹奏方式，有望達成社區表演，藉以此讓師生共同促進交流成長,美感教育,非上述屬性
無形的財富─心靈成長與軟能力開發,可以做到自覺且有方法認識負面情緒，學習轉念，提升心靈並以此關懷他人，開發軟能力。,生命教育,生命教育
輕水彩輕鬆學(花卉風景篇),輕水彩插畫是一種結合水彩和速寫的技巧，主要以生活周遭發現的小確幸為作畫對象，作畫方式講求放鬆。不論有無基礎的學員皆可在此種插畫方式上手，並建立繪畫的信心和繪畫的興趣。,美感教育,非上述屬性
寫意水墨小品畫初階,"1.學習寫意水墨小品畫的線條及筆墨運用技巧。
2.透過梅、蘭、竹、菊、山石簡約的國畫技法，以藉物象為載體抒發情感或贈友，小品畫幽雅卻能帶給人以很高審美價值。
3.能透過小品畫創作能與自身環境做省思。
4.最重要這是一門、老少咸宜輕鬆有趣快樂",美感教育,環境永續、美感教育
數位生活與Google雲端應用-電腦與手機,課程傳授與實務並重，從基礎的操作過程中，讓學員從陌生的電腦世界進而熟悉電腦世界，並與日常生活相互結合，進而發現電腦與網路世界所帶來的極大方便，讓生活更豐富與充實。,科技學習,科技學習
熱情西班牙佛拉明哥舞(初階期),"1.本期課程內學會：基本的手部轉腕、基本的踩腳，並可以獨立完成一首舞曲。
2.在學習的過程中，會讓學員分組練習與小組成現
3.本期課程結束後，學員能聽懂與分辨基本的佛拉明哥舞曲
4.對佛拉明哥舞的文化有概略的了解
",美感教育,民俗文化資產
賞讀文學．品味生命,歷史是過去的生活，生活是未來的歷史，讓歷史走入生活，讓生活看見歷史。透過文學，看見過往文史的精采，涵養當下的心靈。將耳熟能詳的詩詞歌賦或者學術性強的文學作品貼近生活。讓學員可以成為生活中的文學愛好者，提昇品味，豐富生命。,生命教育、美感教育,非上述屬性
點心自家作,讓不管是否學習過烘焙課程的學員皆能享受在家就能做出美味點心，培育個人第二專長，並能促進家庭和樂。,美感教育,非上述屬性
魔力塑身:健身有氧舞蹈,"1.結合地板柔軟操與各種舞蹈元素，融入在有氧組合課程內，全方位運動!
2.正確引導學員們有效學習，進而防止運動傷害，達到快樂瘦身的目的!
3.以個別和團體互動方式，演練基本變化，既可健身又可開發人際創造力!
",美感教育,傳統藝術
歡唱卡拉OK C班,"一、理念: 結合氣功與發聲方法，推廣正確演唱卡拉OK的技巧。  
二、目標: (一)學員能學會養聲氣功及正確的演唱方法。 
         (二)學員能以樂會友，引吭高歌。 
         (三)學員能熱心參與社區歌唱表演及比賽。 
",美感教育,非上述屬性
讀小說學台語,"1.緣由: 
本課程將藉由台語短篇小說的欣賞來學習台語。
2.學科/知識與理論: 學習台語讀寫方法。
3.技能:  培養學員台語讀寫能力。
4.品德/態度: 讓學員能更愛惜台語疼惜鄉土。
5.培養學員對台語文學的喜好.",本土語文,非上述屬性
 太極氣功與養生調理,"鍛鍊精氣神，具有「保健」及「強身」功效。                 
期勉學員努力練功,在身心靈三方面,會處在健康、喜樂、祥和的意境中,對個人、家庭、公司、社會,將有
    所助益,這是我衷心期盼、也是開設本課程的目標。

",生命教育、美感教育,非上述屬性
古典音樂賞析-音樂藝術與文化,此門課透過所選古典音樂經典作品的的演出視頻、與當代演奏家的介紹，並配合音樂會導聆與參與，引導學生「深度聆賞」。藉由音樂各面向—作品的內容/結構/音樂理念/創作背景/歷史脈絡等，以理性感性兼具的方式，來提昇學生的音樂素養。,美感教育,傳統藝術、公民素養、民俗文化資產、美感教育
山林美學(認證課程),探索山林之美，愛護環境，關懷土地，提升生活美學。,環境永續、山野教育,環境永續、美感教育
國畫:寫意花鳥與山水(基礎),水墨生活化，走過四季遊遍八方用寫意的方式加入實物寫生，將生活周邊美的事物運用畫來記錄，由基礎漸進式的了解寫意花鳥畫的各種畫法與生態。,美感教育,環境永續
茶道生活美學,以茶為師、與茶共舞，品味茶湯中的深厚文化底蘊與審美境界，實踐茶道生活美學樂趣。,美感教育,民俗文化資產、美感教育
生活寫實攝影,充分利用相機和手機記錄生活，拍攝美照，享受旅遊拍照樂趣。,美感教育,科技學習
裙子、褲子設計與製作,"讓學員能自由設計與製作喜歡的裙子與褲子。
        
        ",美感教育,美感教育
經絡養生瑜珈,瑜珈結合經絡藉著不同體位變化的動作，調整阻塞的氣血運行增進新陳代謝，透過經絡瑜珈的動作，讓身體五臟六腑與關節、肌肉大腦皮層相通。,美感教育,非上述屬性
輕活氧塑身肚皮舞(六),你想擁有美麗動人的曼妙身材嗎？讓人一手掌握的水蛇腰嗎？羨慕在舞台上表演的肚皮舞孃嗎？你也可以做到，讓你享受享瘦。想變成充滿神秘感的中東肚皮舞孃嗎？別再猶豫了，馬上來報名吧！,美感教育,非上述屬性
社交交際舞(進階)-恰恰.華爾滋,用音樂旋律配合雙人舞教學，運動健身，維持優美的體態。,美感教育,傳統藝術
